Date,Time,Rud,Ele,Thr,Ail
2021-12-09,18:22:04.878,-2,9,-1024,3
2021-12-09,18:22:04.988,-2,7,-1024,3
2021-12-09,18:22:05.097,-2,7,-1024,3
2021-12-09,18:22:05.206,-2,7,-1024,2
2021-12-09,18:22:05.316,-1,11,-1022,2
2021-12-09,18:22:05.425,0,7,-1022,2
2021-12-09,18:22:05.534,-1,9,-1024,3
2021-12-09,18:22:05.644,-1,7,-1024,3
2021-12-09,18:22:05.753,-1,7,-1024,2
2021-12-09,18:22:05.863,-1,9,-1024,2
2021-12-09,18:22:05.972,-1,7,-1024,3
2021-12-09,18:22:06.082,-1,6,-1024,2
2021-12-09,18:22:06.191,-1,6,-1024,3
2021-12-09,18:22:06.300,-2,7,-1024,5
2021-12-09,18:22:06.409,-2,7,-1024,3
2021-12-09,18:22:06.519,-2,9,-1022,2
